"Comment";"Designator";"Footprint";"JLCPCB Part #";"Mouser Part #";"Quantity"
"10k";"R3,R32,R10,R9,R28,R4,R52,R8,R44,R15,R2,R13,R19,R40,R36,R20,R56,R48,R1,R14";"R_0603_1608Metric";"C25804";;20
"MMBTA92";"Q14,Q18,Q22,Q16,Q26,Q20,Q12,Q24";"SOT-23";"C85182";;8
"10k";"R37,R33,R51,R53,R55,R31,R41,R27,R47,R25,R49,R39,R43,R35,R45,R29";"R_1206_3216Metric";"C17902";;16
"412k";"R23,R50,R17,R26,R54,R21,R16,R38,R18,R7,R12,R30,R34,R5,R24,R11,R6,R46,R42";"R_1206_3216Metric";"C323043";;19
"MMBTA42";"Q15,Q2,Q11,Q21,Q4,Q19,Q23,Q17,Q3,Q9,Q8,Q6,Q25,Q7,Q13,Q5,Q10,Q1,Q27";"SOT-23";"C466651";;19
"~";"N1,N8,N2,N3,N4,N7,N5,N6";"IN12";;;8
"74HC595";"U1,U2,U3";"SOIC-16_3.9x9.9mm_P1.27mm";"C5947";;3
"100k";"R22";"R_0603_1608Metric";"C25803";;1
"Conn_01x10_Pin";"J1";"IDC-Header_2x05_P2.54mm_Vertical";;;1
